Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
umuser	oid	false	pg_authid.oid	"oid of the local role being mapped, 0 if the user mapping is public"
umserver	oid	false	pg_foreign_server.oid	"the oid of the foreign server that contains this mapping"
umoptions	text[]	true		"user mapping specific options, as ""keyword=value"" strings"
